_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
2394454,5186997,,,2019.0,PRIVATE,12,Toronto-St. Paul's,200 MADISON AVE,6,82,2023-01-31,100,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,S1237,43.676442017,-79.406812986,312299.706,4837164.375
2394455,5118732,2022.0,,2021.0,PRIVATE,13,Toronto Centre,25 NICHOLAS AVE,29,346,2023-01-27,100,Evaluation needs to be conducted in 3 years,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S1330,,,316225.666,4835308.898
2394456,5156142,,,,PRIVATE,13,Toronto Centre,109 PEMBROKE ST,4,20,2023-01-27,67,Evaluation needs to be conducted in 2 years,14,3.0,4.0,3.0,3.0,2.0,3.0,,4.0,,,3.0,3.0,5.0,3.0,3.0,4.0,,4.0,,,S1328,43.660120206,-79.37282783010001,315041.50399999996,4835359.9180000005
2394457,5156008,2022.0,,1885.0,PRIVATE,9,Davenport,267 BROCK AVE,3,11,2023-01-24,73,Evaluation needs to be conducted in 2 years,14,3.0,3.0,4.0,4.0,,4.0,,5.0,5.0,,3.0,4.0,3.0,2.0,4.0,3.0,,4.0,,,S0936,43.649450698,-79.43510564600001,310019.153,4834169.75
2394458,5156127,2022.0,,1972.0,PRIVATE,13,Toronto Centre,33 WOOD ST,30,240,2023-01-24,93,Evaluation needs to be conducted in 3 years,20,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,S1326,43.662341118,-79.381432692,314346.855,4835606.614
2394459,5132414,2022.0,,2018.0,PRIVATE,11,University-Rosedale,55 GERRARD ST W,43,595,2023-01-24,99,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S1145,43.658443735,-79.383996717,314140.697,4835173.342
2394460,5207679,2023.0,,2022.0,PRIVATE,12,Toronto-St. Paul's,215 LONSDALE RD,20,177,2023-01-23,100,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S1231,,,312559.07,4838724.578
2394461,5175953,2022.0,,2022.0,PRIVATE,10,Spadina-Fort York,57 SPADINA AVE,36,286,2023-01-20,100,Evaluation needs to be conducted in 3 years,20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S1033,43.644956232,-79.39447143699999,313302.359,4833678.686000001
2394462,4154229,2017.0,,1968.0,PRIVATE,7,Humber River-Black Creek,2770 JANE ST,4,144,2023-01-19,85,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,,W0729,43.7474006174,-79.5159466744,303500.287,4845048.686000001
2394463,5199841,,,2021.0,PRIVATE,3,Etobicoke-Lakeshore,5249 DUNDAS ST W,42,333,2023-01-19,99,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,W0323,,,301782.82,4832967.103
2394464,5156112,2022.0,,1958.0,PRIVATE,12,Toronto-St. Paul's,210 VAUGHAN RD,4,25,2023-01-19,75,Evaluation needs to be conducted in 2 years,15,3.0,3.0,5.0,5.0,3.0,4.0,,4.0,,,3.0,3.0,5.0,3.0,4.0,4.0,,4.0,3.0,,S1229,43.687311357,-79.423463821,310954.409,4838376.712
2394465,5156053,2023.0,,2018.0,PRIVATE,12,Toronto-St. Paul's,109 VAUGHAN RD,9,51,2023-01-19,96,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S1229,43.6841957137,-79.4209646641,311156.469,4838029.782
2394466,5156165,2022.0,,1960.0,PRIVATE,20,Scarborough Southwest,568 BIRCHMOUNT RD,7,61,2023-01-18,83,Evaluation needs to be conducted in 2 years,19,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,,E2029,43.7127945342,-79.2713034993,323213.731,4841229.257
2394467,5144485,2022.0,,2021.0,PRIVATE,4,Parkdale-High Park,50 HIGH PARK AVE,25,264,2023-01-18,98,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,3.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S0428,43.655497931999996,-79.466564069,307481.141,4834840.141
2394468,5144479,2022.0,,2020.0,PRIVATE,4,Parkdale-High Park,55 QUEBEC AVE,25,264,2023-01-18,98,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,3.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S0428,,,307442.641,4834735.62
2394469,4155235,2017.0,,1958.0,PRIVATE,3,Etobicoke-Lakeshore,169 BERRY RD,4,25,2022-12-30,81,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,3.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,,W0329,43.637123520500005,-79.4874115114,305800.066,4832797.477
2394470,4153885,2017.0,,1955.0,PRIVATE,12,Toronto-St. Paul's,567 AVENUE RD,11,63,2022-12-30,91,Evaluation needs to be conducted in 3 years,18,4.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,,S1232,43.688402926,-79.40160629399999,312716.44899999996,4838499.822
2394471,4155295,2017.0,,1927.0,PRIVATE,3,Etobicoke-Lakeshore,2651 BLOOR ST W,4,34,2022-12-30,74,Evaluation needs to be conducted in 2 years,17,3.0,4.0,5.0,3.0,2.0,4.0,,4.0,,3.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,,W0327,43.649230274,-79.49533657100001,305160.274,4834143.367
2394472,4155294,2017.0,,1940.0,PRIVATE,3,Etobicoke-Lakeshore,2655 BLOOR ST W,5,45,2022-12-30,79,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,3.0,2.0,,4.0,,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,,W0327,43.6494614357,-79.495683937,305101.599,4834184.1389999995
2394473,4155477,2017.0,,1958.0,PRIVATE,3,Etobicoke-Lakeshore,2355 LAKE SHORE BLVD W,4,86,2022-12-30,69,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,2.0,2.0,2.0,,3.0,4.0,,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,,W0336,43.61606574100001,-79.48769627729999,305777.4,4830458.074
2394474,4155476,2017.0,,1960.0,PRIVATE,3,Etobicoke-Lakeshore,2361 LAKE SHORE BLVD W,4,47,2022-12-30,82,Evaluation needs to be conducted in 2 years,17,4.0,5.0,5.0,4.0,3.0,4.0,,3.0,5.0,,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,,W0336,43.6158682454,-79.4878084713,305768.347,4830436.132
2394475,4155475,2017.0,,1959.0,PRIVATE,3,Etobicoke-Lakeshore,2369 LAKE SHORE BLVD W,4,87,2022-12-30,74,Evaluation needs to be conducted in 2 years,17,3.0,3.0,5.0,3.0,4.0,4.0,,3.0,5.0,,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,,W0336,43.615736635,-79.48788213569999,305762.403,4830421.51
2394476,4155474,2017.0,,1970.0,PRIVATE,3,Etobicoke-Lakeshore,2377 LAKE SHORE BLVD W,4,23,2022-12-30,72,Evaluation needs to be conducted in 2 years,18,4.0,3.0,5.0,4.0,4.0,2.0,,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,,W0336,43.6154404667,-79.4878892475,305761.833,4830388.607
2394477,4154231,2017.0,,1970.0,PRIVATE,7,Humber River-Black Creek,2940 JANE ST,13,153,2022-12-30,82,Evaluation needs to be conducted in 2 years,18,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0729,43.753728376000005,-79.51778801020001,303352.137,4845751.71
